title,agency,notice_type,posted_date,inactive_or_expired_date,capability_lane,demand_proved,Defendable_product_implication,NAICS,award_information_if_available,official_reference,limitations
"Artificial Intelligence Test, Evaluation, Verification, and Validation (TEVV) Capability Request for Information (RFI)",Defense Intelligence Agency (DIA),Special Notice,2026-01-12,2026-02-06,AI TEVV / Trust / Evaluation,DIA explicitly seeks enterprise-level AI TEVV standardization with automated continuous testing across NIPRNET/SIPRNET/JWICS domains; signals upcoming major procurement for AI trustworthiness,"AI TEVV Ledger - automated testing, audit trails, cross-domain validation; direct match for DIA's stated need",,No award; follow-on solicitation expected within 3-6 months,https://sam.gov/workspace/contract/opp/d91ada1a22074523a8cc9b2c970f9b9c/view,RFI closed; award not yet made; future solicitation timing TBD
EVALUATIONS AND BENCHMARKS FOR ASSESSING AI RESEARCH AND DEVELOPMENT CAPABILITIES OF AI MODELS,NIST / AI Safety Institute (AISI),Sources Sought,2025-03-05,2025-03-15,AI TEVV / Trust / Evaluation,"AISI needs automated evaluation benchmarks, scoring mechanisms, and testing infrastructure for frontier AI models' software engineering and AI R&D capabilities","AI TEVV Ledger - provides automated evaluation, benchmark tracking, capability assessment documentation aligned with frontier model TEVV",541990,No award; follow-on contracts anticipated,https://sam.gov/opp/a8d0be85fa984fc39f9f0a432d590748/view,Sources Sought closed; single NIST point of contact; limited competition window
DEVELOP EVALUATIONS AND BENCHMARKS FOR ASSESSING CHEMICAL AND BIOLOGICAL CAPABILITIES OF AI MODELS,NIST / AI Safety Institute (AISI),Sources Sought,2024-10-25,2024-11-13,AI TEVV / Trust / Evaluation,"AISI requires pre-deployment TEVV on frontier models' dual-use chemical and biological capabilities including red teaming, automated testing, human uplift studies","AI TEVV Ledger - testing documentation, evaluation tracking, risk assessment logging for dual-use AI capability assessment",541690,No award; AISI has multiple parallel TEVV initiatives,https://sam.gov/opp/03797b011bbb4a75ac925ac96a43f926/view,Expired; follow-on solicitations expected but timeline unknown
Securing Artificial Intelligence for Battlefield Effective Robustness (SABER),DARPA,Solicitation,2025-03-12,2025-05-06,AI TEVV / Trust / Evaluation,"DARPA needs operational AI red teaming with adversarial testing, vulnerability assessment, and counter-AI techniques for battlefield autonomous systems","AI TEVV Ledger - red team activity documentation, vulnerability tracking, adversarial test logging, operational assessment records",541715,Award likely made; monitor for follow-on phases,https://sam.gov/opp/5e377ad0bb1c4208a56f2f9187386be6/view,Solicitation closed; award status not public; Phase 2 timeline TBD
NASA Headquarters Earth Independent Operations (EIO) Partnerships in Anomaly - Request for Information,NASA,Special Notice,2026-02-17,2026-02-18,AI TEVV / Trust / Evaluation,"NASA needs ML verification and validation methods, ML assurance cases, data/model documentation, robustness and interpretability testing for mission-critical AI/ML spaceflight systems","AI TEVV Ledger - ML model documentation, V&V tracking, assurance case generation, robustness testing records for spaceflight-critical AI",,No award; follow-on solicitation expected,https://sam.gov/workspace/contract/opp/fa6253bcee3c4ba28b30fb2afdd6093e/view,RFI had 1-day response window; future solicitation timing unknown
DA01--Artificial Intelligence (AI) Program and Governance Support,Department of Veterans Affairs (VA),Sources Sought,2024-10-03,2024-10-10,AI TEVV / Trust / Evaluation,"VA OCAIO needs AI governance framework, risk assessment, use case review for safety-impacting and rights-impacting AI systems aligned with federal AI standards","AI TEVV Ledger - AI governance tracking, risk assessment documentation, use case evaluation, compliance monitoring for federal AI use cases",541519,No award; full solicitation expected to follow,https://sam.gov/opp/739a4a676e9245c0b5b113d96c0ef860/view,Short response window (7 days); full solicitation timeline TBD
Digital Health Office- Trustworthy Artificial Intelligence Program Support,Department of Veterans Affairs (VA),Award Notice,2024-10-10,2024-10-10,AI TEVV / Trust / Evaluation,"VA invested $4.98M in trustworthy AI program support for VA Digital Health Office and NAII, confirming sustained demand for AI trust/governance services",AI TEVV Ledger - could support prime contractor or compete for recompete in the trustworthy AI program space,541611,"$4,978,400.52 awarded to Olympus Alpha LLC (SDVOSB)",https://sam.gov/opp/02ebe3789e5e448ca9ddd7a85e512b96/view,Award completed; recompete timeline unknown
Request for Information (RFI) for Artificial Intelligence (AI) Model Access Services,Department of the Treasury,Special Notice,2026-02-13,2026-02-23,AI TEVV / Trust / Evaluation,"Treasury needs responsible AI governance, bias mitigation, transparency, explainability, and data governance for frontier AI model procurement enterprise-wide","AI TEVV Ledger - documentation and verification of responsible AI practices, bias testing records, transparency reports for frontier AI procurement",518210,Multiple IDIQ contracts anticipated; solicitation projected March 2026,https://sam.gov/workspace/contract/opp/27e7755792e442bbb1dc0b155c9f7219/view,RFI closed; actual solicitation may have released; requires monitoring
"Leveraging Enterprise Technologies for Holistic AI, Logistics, Integration, Transformation, and Yield (LETHA)",Naval Surface Warfare Center (NAVSEA),Sources Sought,2025-08-01,2025-09-10,AI TEVV / Trust / Evaluation,"Navy needs consortium for AI/ML R&D including adversarial assessment, red teaming, and test & evaluation for maritime systems via OTA","AI TEVV Ledger - adversarial testing documentation, T&E support for maritime AI systems",541715,Consortium formation opportunity; membership pathway available,https://sam.gov/workspace/contract/opp/b84cf8ca9a10472483caeffc124a230b/view,OTA pathway; consortium membership required; not a direct contract
AI-Enabled Software Development Coding Capabilities,DoD Chief Digital and Artificial Intelligence Office (CDAO),Solicitation,2026-03-04,2026-03-06,AI TEVV / Trust / Evaluation,DoD CDAO needs AI-enabled software development tools that maintain security and governance standards for code generation,"AI TEVV Ledger - governance and documentation for AI-generated code, security validation tracking",513210,Call for solutions closed; award status unknown,https://sam.gov/workspace/contract/opp/1b82e9d117f44b4cb15222956e0da13b/view,Short turnaround (2 days); award status not disclosed
