code,code_type,description,number_of_verified_relevant_records,top_capability_lanes,example_official_notices,active_target_count,award_receipt_count,registration_positioning_recommendation,confidence_score,limitations
541519,NAICS,Other Computer Related Services,16,"AI TEVV;Cybersecurity RMF;Data Governance;Fraud Analytics;AI Governance","PANAPG-26-P-0000041835 (Army RMF);70Z04425DESD40001 (USCG IA/RMF $160M);W56KGY25X (Army Cyber RFI);36C10B25Q0021 (VA AI Gov);36C10B25Q0429 (VA ZARP);832572693 (DISA MSC CSS);VAOIG-RFI-26-0001 (VA OIG Case Mgmt);36C10B25Q0336 (VA DMM);47QRAB25R0002 (GSA SmartPay Fraud);75N95023R00015NOI (NIH N3C Enclave);USAID RPA;CISA Cyber Defense Training;FA521525Q0028 (PACAF FISMA);36C77625Q0131 (VA Data Quality);Peraton Multi-Agency Cyber;DHS Facial Confirmation ML",2,5,"PRIMARY NAICS for DefendableOS. Register as primary SAM.gov NAICS. GSA MAS SIN 54151S and 54151HACS both map here. Covers cybersecurity services AI implementation data recovery and IT outsourcing. SBA size standard: $34M receipts (5-year avg).",95,"Brookings confirms 541519 has highest federal IT spending ($25.5B prime all-time). However some opportunities may be better classified under 541511 or 541512 depending on whether custom development or systems integration is primary. The ITVAR exception uses 150-employee standard instead of $34M."
541511,NAICS,Custom Computer Programming Services,8,"AI Software Development;Data Governance;Fraud Analytics;Secure Enclave","PR20156685 (CBP Financial Close);2031JW26N00007 (OCC Enterprise Data Mgmt);36C10E20Q0269 (VA VBA Enhanced Accounting);75N95026R00003 (NIH NIA Federated Enclave);1232SA24X (USDA Secure Enclave);HM0476RFI (NGA Case Mgmt);N0017322Q0512 (NRL GPU Procurement);53xx series GPU/compute",1,1,"SECONDARY NAICS. Essential for custom AI/ML software development opportunities. SBA size standard: $34M receipts. GSA MAS SIN 54151S covers this code. Map to DA01 (Application Development) PSC. Critical for programming-heavy fraud detection and AI TEVV tools.",90,"98% of federal AI spending flows through NAICS 54 and 51 per Brookings. 541511 is second-highest AI spending code after 541519. Some AI TEVV work could be classified here if delivered as custom software rather than a service."
541512,NAICS,Computer Systems Design Services,11,"Cybersecurity Systems;AI Evaluation;Data Governance;Zero Trust;Secure Enclaves","PCCA2600032_CEEOSS (CISA Enterprise Eng);FY25-00308 (DHS Zero Trust);AMD-SS-F-22-00063_MHB (NIST RMF Services);FA460026Q0012 (Air Force DRSN/NC3);RFI-ICE-FY26-CCISS (ICE CDISS);832573449 (DISA Cyber Mgmt);2024-AMP-APMI-OITA-001 (IRS Fraud Analytics);HT0011-25-RFI-0222 (DHA Data Gov);A021537 (USSF SpOC CDO);DOIDFBO250041 (DOI eERDMS);CMS MDM/Enterprise Data Lake",1,4,"PRIMARY NAICS for systems integration and cybersecurity design work. SBA size standard: $34M receipts. GSA MAS SIN 54151S maps here. Core code for Zero Trust architecture CISA support and federal data governance contracts. Map to DG01 and DJ01 PSCs.",93,"Widely used for cybersecurity and systems design but may overlap with 541519 on service contracts. Some solicitations specify both codes. Essential for CISA CEEOSS DHS Zero Trust and DISA recompetes."
541715,NAICS,Research and Development in the Physical Engineering and Life Sciences,7,"AI TEVV R&D;Adversarial AI;Edge AI;Nuclear Cyber R&D;Data Science","HR001125S0009 (DARPA SABER);31310026R0012 (NRC Cyber/AI Reactors);N642672598000 (Navy LETHA);6913G626QSBIR1 (DOT SBIR Edge AI);75N95023R00015NOI (NIH N3C);WAEDS (Booz Allen $1.58B);NGA R&D IDIQs ($794M)",1,4,"PRIMARY NAICS for R&D and SBIR/STTR eligibility. SBA size standard: 1000 employees (employee-based not receipt-based). Critical for DARPA SBIR Army AI/ML Open Topic and Navy LETHA consortium. Map to AC12 and AS12 PSCs.",88,"Employee-based size standard (1000 employees) makes this uniquely accessible for larger small businesses. However R&D contracts often require specialized domain expertise. Not all TEVV work qualifies as R&D — must have research component."
518210,NAICS,Data Processing Hosting and Related Services,5,"Data Governance;Secure Enclave;AI Infrastructure;Cloud Hosting;Fraud Analytics","36C10E20Q0269 (VA VBA Data Lineage);DOIDFBO250041 (DOI eERDMS);1232SA24X (USDA Secure Enclave);AI_Data_Center-RFI_001 (DOE/PNNL AI Data Center);RFP-AI-1 (DOE/NNSA AI Infrastructure);NOF-2026-003 (HUD HUGS-RAP);2032L2-26-X-0001 (Treasury AI Model Access)",0,0,"SECONDARY NAICS for cloud data processing and secure enclave work. SBA size standard: $40M receipts. Covers FedRAMP hosting data analytics platforms and AI compute infrastructure. Map to DH01 and DA10 PSCs.",82,"Higher size standard ($40M vs $34M) provides more headroom. Less frequently specified than 541519/541512 for cybersecurity work. Better suited for infrastructure/hosting plays than TEVV services."
541611,NAICS,Administrative Management and General Management Consulting Services,3,"AI Governance;Data Governance;Fraud Management","36C10X22Q0038 (VA Data Mgmt IDIQ);36C10G24C0010 (VA Trustworthy AI $5M);USPTO Cybersecurity and Privacy;75N95026R00003 (NIH NIA Federated Enclave)",0,1,"TERTIARY NAICS for management consulting components of AI governance. SBA size standard: $24.5M receipts. Use when opportunity is primarily advisory/strategic rather than technical implementation.",75,"Often secondary to technical NAICS. Smaller size standard ($24.5M) limits eligibility for growing firms. Best used as supplementary NAICS for governance-focused opportunities."
513210,NAICS,Software Publishers,3,"AI SaaS;Investigative Case Management;AI Model Access","CDAO_26-01 (DoD AI-Enabled Software Dev);VAOIG-RFI-26-0001 (VA OIG Case Mgmt);9531BM23Q0019 (NTSB Evidence Mgmt)",0,0,"SECONDARY NAICS for software product/licensing opportunities. SBA size standard: 1000 employees. Relevant if DefendableOS delivers AI TEVV as a licensed SaaS platform rather than services.",78,"Brookings notes 511210+513210 represent large share of AI spending. However as a service-oriented company DefendableOS will primarily use 5415xx codes. Consider if pivoting to product-based delivery."
541690,NAICS,Other Scientific and Technical Consulting Services,1,"AI Evaluation;Technical Consulting","CAW-25-0001 (NIST AISI Chem/Bio Eval)",0,0,"TERTIARY NAICS. SBA size standard: $19M receipts. Used for specialized technical consulting — NIST AISI chemical/biological AI evaluation is the primary example.",65,"Very limited verified record count. Only register if pursuing NIST AISI evaluation contracts specifically. Small size standard may be restrictive."
541330,NAICS,Engineering Services,2,"AI Systems Engineering;Geospatial Intelligence;Nuclear Cybersecurity","31310026R0012 (NRC Cyber/AI Reactors);NGA GIC Next ($615M);NGA Erebus ($652M)",1,1,"SUPPLEMENTAL NAICS. SBA size standard: $25.5M receipts. Relevant for AI systems engineering and nuclear facility cybersecurity. Map to AJ12 PSC.",72,"Limited direct fit for DefendableOS core capabilities. Register only if targeting NRC nuclear cybersecurity or geospatial AI engineering opportunities."
488210,NAICS,Support Activities for Rail Transportation,1,"Edge AI;Transportation Safety","RRS2026MRIP (FRA M-RIP Edge Computing)",0,0,"SPECIALIZED NAICS. SBA size standard: $25.5M receipts. Only relevant for FRA M-RIP edge AI opportunity — narrow applicability.",50,"Single opportunity identified. Only register if specifically pursuing DOT/FRA edge AI transportation contracts."
